Session_ID,Player_ID,Player_Name,Session_Date,Days_Before_Match,Next_Match_Date,Next_Match_ID,Age,Height_cm,Weight_kg,Position,Exercise_Type,Duration_min,Heart_Rate,Respiratory_Rate,Body_Temperature,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Steps,Strength_Score,Agility_sec,Endurance_Score,Jump_Height_cm,Shooting_Accuracy_%,Dribbling_Speed_sec,Passing_Accuracy_%,Defense_Rating,Focus_Level,Weekly_Training_Hours,Load_Intensity_Score,Fatigue_Level,Injury_Risk,Injury_Risk_Level,Recovery_Time_hours,Performance_Score,Team,Team_Code,Season
FFS_20191020_1681114057_21900010,1681114057,Abdoulaye Ba,2019-10-20,3,2019-10-23,21900010,29,205.7,106.1,Forward,Strength Training,117,129,20,37.5,0.56,0.87,0.49,0.55,0.74,0.45,4854,75.8,4.16,88.1,58.4,76.9,4.33,80.1,6.5,8.0,19,7.8,Medium,0,Medium,23.9,77.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1660724909_21900010,1660724909,Ibrahim Traoré,2019-10-20,3,2019-10-23,21900010,27,208.3,102.1,Forward-Center,Strength Training,117,144,18,37.0,0.56,0.54,0.54,0.68,0.57,0.6,5592,89.2,4.2,78.3,79.1,51.4,4.14,74.7,7.2,7.4,22,7.8,High,1,Low,43.2,72.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1668139015_21900010,1668139015,Jean-Baptiste Moreau,2019-10-20,3,2019-10-23,21900010,39,210.8,113.4,Center-Forward,Strength Training,117,156,22,38.1,0.66,0.7,0.74,0.53,0.45,0.37,7730,83.9,5.34,93.3,61.8,73.0,5.26,74.8,7.4,6.6,27,7.8,Medium,0,Low,31.3,79.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1683761184_21900010,1683761184,Johann Müller,2019-10-20,3,2019-10-23,21900010,29,213.4,114.8,Center,Strength Training,117,165,16,38.1,0.64,0.81,0.42,0.31,0.79,0.43,7057,93.6,5.21,90.4,66.3,50.0,5.22,74.1,9.2,9.4,26,7.8,Medium,0,Low,47.1,78.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1679581927_21900010,1679581927,Mamadou Diallo,2019-10-20,3,2019-10-23,21900010,25,193.0,92.5,Guard-Forward,Strength Training,117,174,23,38.0,0.76,0.47,0.31,0.41,0.75,0.56,3589,98.9,5.54,76.5,60.7,55.6,5.56,67.4,6.5,6.6,31,7.8,High,0,Low,48.6,72.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1654357913_21900010,1654357913,Matteo Rossi,2019-10-20,3,2019-10-23,21900010,38,195.6,99.8,Guard,Strength Training,117,144,14,36.6,0.42,0.41,0.54,0.66,0.55,0.51,6785,79.0,5.15,88.5,68.2,50.0,5.13,84.7,7.3,7.8,29,7.8,Medium,0,Low,39.4,73.2,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1657985451_21900010,1657985451,Pierre Martin,2019-10-20,3,2019-10-23,21900010,36,188.0,81.6,Guard,Strength Training,117,139,23,37.3,0.46,0.75,0.6,0.72,0.72,0.34,4580,73.3,4.29,83.0,69.8,50.0,04.01,87.6,7.1,8.3,26,7.8,Medium,0,Low,28.5,71.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1697425574_21900010,1697425574,Souleymane Diarra,2019-10-20,3,2019-10-23,21900010,38,203.2,113.4,Forward-Guard,Strength Training,117,160,15,36.6,0.22,0.86,0.76,0.73,0.57,0.55,6983,99.3,5.94,83.5,56.8,59.8,06.07,67.0,6.0,8.4,28,7.8,Medium,1,Low,56.3,73.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1685968729_21900010,1685968729,Thomas Leblanc,2019-10-20,3,2019-10-23,21900010,30,193.0,86.2,Guard,Strength Training,117,155,17,37.3,0.62,0.65,0.22,0.73,0.53,0.44,4718,86.0,3.65,80.5,75.4,53.7,3.62,100.0,8.6,8.9,26,7.8,High,0,Low,40.0,79.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191020_1683305932_21900010,1683305932,Youssef Bouchareb,2019-10-20,3,2019-10-23,21900010,38,198.1,97.5,Forward,Strength Training,117,134,23,36.6,0.28,0.22,0.6,0.64,0.78,0.57,5625,81.5,4.99,89.2,69.3,50.8,5.22,81.2,9.5,7.6,30,7.8,Low,0,Medium,20.6,78.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1681114057_21900010,1681114057,Abdoulaye Ba,2019-10-21,2,2019-10-23,21900010,29,205.7,106.1,Forward,Skills Practice,116,129,23,37.5,0.44,0.21,0.73,0.7,0.31,0.62,3796,87.0,5.19,89.1,56.7,82.5,5.2,70.5,6.4,7.0,24,7.2,Medium,0,Low,23.3,79.3,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1679015727_21900010,1679015727,Bryan Fournier,2019-10-21,2,2019-10-23,21900010,31,188.0,93.0,Guard,Skills Practice,116,157,17,36.8,0.5,0.22,0.3,0.76,0.53,0.63,4453,79.1,3.42,90.0,56.1,76.4,3.59,95.5,8.9,8.5,22,7.2,Medium,0,Medium,23.1,85.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1660724909_21900010,1660724909,Ibrahim Traoré,2019-10-21,2,2019-10-23,21900010,27,208.3,102.1,Forward-Center,Skills Practice,116,123,18,36.5,0.21,0.37,0.21,0.72,0.66,0.72,4623,81.4,4.8,79.9,62.8,54.2,4.66,82.1,7.0,9.4,28,7.2,Medium,0,Low,20.3,72.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1668139015_21900010,1668139015,Jean-Baptiste Moreau,2019-10-21,2,2019-10-23,21900010,39,210.8,113.4,Center-Forward,Skills Practice,116,173,14,37.2,0.74,0.74,0.77,0.62,0.49,0.57,5363,97.1,5.47,78.9,78.0,72.6,5.63,67.6,9.0,7.1,19,7.2,High,0,Low,23.1,81.5,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1683761184_21900010,1683761184,Johann Müller,2019-10-21,2,2019-10-23,21900010,29,213.4,114.8,Center,Skills Practice,116,159,17,37.5,0.63,0.54,0.73,0.66,0.58,0.53,8153,79.1,05.01,76.3,75.5,50.0,5.18,70.9,7.2,6.9,22,7.2,Low,0,Low,59.5,68.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1679581927_21900010,1679581927,Mamadou Diallo,2019-10-21,2,2019-10-23,21900010,25,193.0,92.5,Guard-Forward,Skills Practice,116,170,14,37.8,0.49,0.74,0.59,0.55,0.36,0.57,4230,85.2,5.64,92.7,73.6,50.0,5.69,68.7,9.1,8.4,22,7.2,Low,1,Medium,22.2,76.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1654357913_21900010,1654357913,Matteo Rossi,2019-10-21,2,2019-10-23,21900010,38,195.6,99.8,Guard,Skills Practice,116,133,18,37.0,0.66,0.33,0.4,0.65,0.62,0.67,4724,86.0,4.63,86.6,60.9,50.0,05.08,88.0,8.4,7.9,24,7.2,Medium,1,Low,52.3,77.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1657985451_21900010,1657985451,Pierre Martin,2019-10-21,2,2019-10-23,21900010,36,188.0,81.6,Guard,Skills Practice,116,163,17,37.8,0.41,0.39,0.77,0.76,0.56,0.32,8294,75.5,3.69,77.6,61.5,50.0,3.64,100.0,6.7,6.7,29,7.2,Low,0,Low,50.2,71.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1697425574_21900010,1697425574,Souleymane Diarra,2019-10-21,2,2019-10-23,21900010,38,203.2,113.4,Forward-Guard,Skills Practice,116,155,14,37.8,0.47,0.8,0.53,0.36,0.58,0.54,7442,87.6,4.83,81.6,73.3,58.1,4.86,68.9,7.3,9.8,31,7.2,High,1,Medium,51.4,73.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1685968729_21900010,1685968729,Thomas Leblanc,2019-10-21,2,2019-10-23,21900010,30,193.0,86.2,Guard,Skills Practice,116,150,15,36.9,0.57,0.88,0.81,0.55,0.69,0.63,3694,70.6,4.67,88.9,64.1,50.0,05.02,82.6,7.9,7.8,28,7.2,Low,0,Low,31.2,72.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191021_1684823847_21900010,1684823847,Yanis Belkacem,2019-10-21,2,2019-10-23,21900010,28,193.0,81.6,Guard,Skills Practice,116,141,18,36.6,0.74,0.31,0.68,0.31,0.37,0.33,7840,75.4,04.06,90.1,67.4,80.8,4.31,86.3,6.4,9.0,26,7.2,Low,0,Low,43.6,79.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1681114057_21900010,1681114057,Abdoulaye Ba,2019-10-22,1,2019-10-23,21900010,29,205.7,106.1,Forward,Defense Drill,81,131,22,38.0,0.64,0.71,0.42,0.61,0.69,0.71,3518,92.7,3.85,88.9,61.9,80.3,3.87,72.6,6.9,7.5,27,6.3,Medium,0,Medium,37.4,81.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1660724909_21900010,1660724909,Ibrahim Traoré,2019-10-22,1,2019-10-23,21900010,27,208.3,102.1,Forward-Center,Defense Drill,81,157,23,36.9,0.32,0.29,0.22,0.51,0.33,0.63,3604,79.9,4.8,79.2,76.6,55.3,4.78,83.7,8.1,7.9,20,6.3,Low,0,Medium,41.1,74.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1683761184_21900010,1683761184,Johann Müller,2019-10-22,1,2019-10-23,21900010,29,213.4,114.8,Center,Defense Drill,81,131,15,36.6,0.75,0.6,0.29,0.46,0.39,0.55,6428,94.7,6.13,92.8,66.5,50.0,5.61,63.1,8.6,9.0,19,6.3,Low,1,Low,55.5,76.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1652570497_21900010,1652570497,Malik Ouattara,2019-10-22,1,2019-10-23,21900010,35,198.1,99.8,Guard-Forward,Defense Drill,81,173,14,36.7,0.86,0.9,0.57,0.42,0.38,0.61,2626,79.4,5.2,79.3,72.8,50.0,5.14,67.1,7.3,9.3,29,6.3,Medium,0,Low,25.3,68.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1679581927_21900010,1679581927,Mamadou Diallo,2019-10-22,1,2019-10-23,21900010,25,193.0,92.5,Guard-Forward,Defense Drill,81,170,16,38.2,0.52,0.37,0.65,0.76,0.55,0.32,6011,101.0,4.44,94.4,75.8,50.0,4.52,67.2,7.7,7.2,30,6.3,Low,0,Medium,47.0,77.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1657985451_21900010,1657985451,Pierre Martin,2019-10-22,1,2019-10-23,21900010,36,188.0,81.6,Guard,Defense Drill,81,158,18,38.3,0.49,0.88,0.39,0.43,0.47,0.62,2812,87.0,4.86,81.9,57.2,50.0,4.93,92.5,7.7,6.6,29,6.3,Low,0,Low,56.5,75.5,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1697425574_21900010,1697425574,Souleymane Diarra,2019-10-22,1,2019-10-23,21900010,38,203.2,113.4,Forward-Guard,Defense Drill,81,156,15,37.2,0.87,0.76,0.53,0.76,0.67,0.56,4362,83.9,4.5,78.4,60.8,57.5,4.63,72.0,7.1,7.6,29,6.3,Low,0,Low,40.9,71.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1685968729_21900010,1685968729,Thomas Leblanc,2019-10-22,1,2019-10-23,21900010,30,193.0,86.2,Guard,Defense Drill,81,128,17,37.9,0.22,0.51,0.32,0.59,0.44,0.79,6345,83.4,3.49,89.9,81.5,50.0,3.51,82.1,6.8,7.4,25,6.3,Low,0,Low,21.3,73.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191022_1683305932_21900010,1683305932,Youssef Bouchareb,2019-10-22,1,2019-10-23,21900010,38,198.1,97.5,Forward,Defense Drill,81,136,16,37.2,0.88,0.89,0.5,0.33,0.45,0.79,6399,88.6,4.71,93.5,76.1,50.0,4.49,67.6,6.4,8.7,24,6.3,Low,0,Low,24.2,71.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1681114057_21900033,1681114057,Abdoulaye Ba,2019-10-23,3,2019-10-26,21900033,29,205.7,106.1,Forward,Cardio,92,136,16,38.2,0.78,0.35,0.35,0.63,0.36,0.52,2801,87.0,4.28,84.7,73.0,50.0,04.05,79.7,6.7,9.4,29,9.1,Medium,1,Low,52.2,72.3,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1679015727_21900033,1679015727,Bryan Fournier,2019-10-23,3,2019-10-26,21900033,31,188.0,93.0,Guard,Cardio,92,157,16,37.0,0.72,0.47,0.57,0.45,0.71,0.56,5655,77.6,04.08,77.4,58.7,50.0,3.87,75.3,9.1,8.8,23,9.1,High,1,Low,59.5,72.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1660724909_21900033,1660724909,Ibrahim Traoré,2019-10-23,3,2019-10-26,21900033,27,208.3,102.1,Forward-Center,Cardio,92,164,19,36.7,0.58,0.72,0.28,0.47,0.71,0.63,3916,77.6,05.07,85.1,80.4,50.0,4.94,87.9,8.7,7.2,18,9.1,High,0,Low,44.5,75.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1668139015_21900033,1668139015,Jean-Baptiste Moreau,2019-10-23,3,2019-10-26,21900033,39,210.8,113.4,Center-Forward,Cardio,92,136,23,36.9,0.65,0.86,0.39,0.33,0.58,0.43,6881,84.3,5.53,75.0,80.4,58.1,5.1,67.9,8.3,8.1,30,9.1,Medium,0,Medium,26.9,73.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1683761184_21900033,1683761184,Johann Müller,2019-10-23,3,2019-10-26,21900033,29,213.4,114.8,Center,Cardio,92,116,21,37.7,0.56,0.25,0.26,0.61,0.53,0.45,3087,86.7,5.26,87.0,63.8,50.0,5.38,65.1,6.1,7.8,25,9.1,Low,0,Low,30.9,69.2,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1652570497_21900033,1652570497,Malik Ouattara,2019-10-23,3,2019-10-26,21900033,35,198.1,99.8,Guard-Forward,Cardio,92,157,20,36.9,0.47,0.64,0.47,0.62,0.7,0.66,3617,75.4,5.53,87.2,80.2,61.2,5.47,74.9,6.9,7.8,26,9.1,Medium,1,Low,39.1,72.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1679581927_21900033,1679581927,Mamadou Diallo,2019-10-23,3,2019-10-26,21900033,25,193.0,92.5,Guard-Forward,Cardio,92,137,14,36.7,0.31,0.66,0.83,0.72,0.3,0.67,5013,87.5,5.73,76.6,74.8,65.1,5.79,72.6,7.4,8.0,31,9.1,High,1,Medium,57.3,74.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1697425574_21900033,1697425574,Souleymane Diarra,2019-10-23,3,2019-10-26,21900033,38,203.2,113.4,Forward-Guard,Cardio,92,166,20,37.9,0.76,0.44,0.77,0.65,0.47,0.75,5012,83.9,5.27,79.8,69.6,50.0,5.17,69.8,7.8,6.9,20,9.1,High,0,Low,50.7,71.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1685968729_21900033,1685968729,Thomas Leblanc,2019-10-23,3,2019-10-26,21900033,30,193.0,86.2,Guard,Cardio,92,170,19,36.5,0.83,0.59,0.87,0.36,0.42,0.31,7222,74.1,4.73,88.9,60.9,50.0,4.57,89.4,9.2,7.3,21,9.1,High,0,Low,42.5,76.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191023_1683305932_21900033,1683305932,Youssef Bouchareb,2019-10-23,3,2019-10-26,21900033,38,198.1,97.5,Forward,Cardio,92,128,14,37.3,0.62,0.59,0.26,0.53,0.52,0.58,4304,84.2,4.67,77.4,63.9,51.3,4.72,71.6,8.5,9.3,25,9.1,High,0,Medium,20.4,73.0,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1681114057_21900033,1681114057,Abdoulaye Ba,2019-10-24,2,2019-10-26,21900033,29,205.7,106.1,Forward,Scrimmage,80,162,18,37.8,0.86,0.31,0.45,0.69,0.75,0.38,5017,80.5,4.57,89.1,59.6,50.0,4.6,75.3,8.0,7.8,28,7.3,Medium,1,Low,36.3,73.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1660724909_21900033,1660724909,Ibrahim Traoré,2019-10-24,2,2019-10-26,21900033,27,208.3,102.1,Forward-Center,Scrimmage,80,120,15,36.9,0.56,0.37,0.22,0.32,0.59,0.71,4789,71.0,3.85,88.7,58.1,54.8,3.87,89.9,6.2,6.7,30,7.3,Low,0,Low,29.1,71.4,Foufous de Sochaux,FFS,2019-2020
